,polarity,date,tweet,tweet_processed,tweet_processed2
0,negatif,2019-12-06 00:57:24,"alors @ laetitiaavia tu les vois là les # violencespolicieres? tu met tjs tes oreilles et va raconter ta merde à la tv ? et @ stanguerini tjs aucune condamnation ? @ ccastaner j'en parle même pas, t'aurais déjà du démissionner.. # grevegenerale # grevedu5decembre # reformedesretraites https://twitter.com/davduf/status/1202701355699359744 …",alors laetitiaavia vois là violencespolicieres met tjs oreilles va raconter merde tv stanguerini tjs aucune condamnation ccastaner parle déjà démissionner grevegenerale grevedu5decembre reformedesretraites,"['alors', 'laetitiaavia', 'voir', 'là', 'violencespolicieres', 'mettre', 'tjs', 'oreille', 'aller', 'raconter', 'merder', 'tv', 'stanguerini', 'tjs', 'aucun', 'condamnation', 'ccastaner', 'parler', 'déjà', 'démissionner', 'grevegenerale', 'grevedu5decembre', 'reformedesretraites']"
1,positif,2019-12-06 00:54:34,"bonjour m @ evenopatrick, pdt de @ obsodi: voici un de mes articles qui devrait faire l'objet d'un super taf à la une sur ""comment m @ emacron2 @ elysee pourrait il réussir une bonne # réformedesretraites, cf au blog @ alainsaiche? https://blogs.mediapart.fr/alain-saiche/blog/021119/bonjour-m-emacron2-reussir-une-bonne-reformedesretraites-est-possible?utm_source=twitter&utm_medium=social&utm_campaign=sharing&xtor=cs3-67 … @ bfmtv @ lci @ lcp @ cnews @ afpfr",bonjour evenopatrick pdt obsodi voici articles devrait faire objet super taf comment emacron2 elysee pourrait réussir bonne réformedesretraites cf blog alainsaiche bfmtv lci lcp cnews afpfr,"['bonjour', 'evenopatrick', 'pdt', 'obsodi', 'voici', 'article', 'devoir', 'faire', 'objet', 'super', 'taf', 'comment', 'emacron2', 'elysee', 'pouvoir', 'réussir', 'bon', 'réformedesretraites', 'cf', 'blog', 'alainsaiche', 'bfmtv', 'lci', 'lcp', 'cnews', 'afpfr']"
2,negatif,2019-12-06 00:52:58,"monsieur le ministre, cher @ djebbari_jb, je vous invite à étudier les propositions de l' @ udi_off concernant les retraites, elles sont justes et réalisables. # reformedesretraites # grevedu5decembre",monsieur ministre cher djebbari_jb invite étudier propositions udi_off concernant retraites elles justes réalisables reformedesretraites grevedu5decembre,"['monsieur', 'ministre', 'cher', 'djebbari_jb', 'inviter', 'étudier', 'proposition', 'udi_off', 'concerner', 'retraiter', 'lui', 'juste', 'réalisable', 'reformedesretraites', 'grevedu5decembre']"
3,negatif,2019-12-06 00:52:02,"le témoignage poignant de sandrine, sans emploi depuis 2 ans et touchant le rsa, dans l'émission # balancetonpost, a marqué les esprits. travaillant depuis l'âge de 16 ans, elle voudrait que la retraite soit calculée sur les 25 meilleures années # reformedesretraites https://twitter.com/karimazzouz29/status/1202731170267648000 …",témoignage poignant sandrine sans emploi depuis ans touchant rsa émission balancetonpost marqué esprits travaillant depuis âge 16 ans voudrait retraite calculée 25 meilleures années reformedesretraites,"['témoignage', 'poigner', 'sandrine', 'sans', 'emploi', 'depuis', 'an', 'toucher', 'rsa', 'émission', 'balancetonpost', 'marquer', 'esprit', 'travailler', 'depuis', 'âge', '16', 'an', 'vouloir', 'retraiter', 'calculer', '25', 'meilleur', 'année', 'reformedesretraites']"
4,negatif,2019-12-06 00:50:49,"dans beaucoup de pays et depuis la nuit des temps, on fait des enfants pour assurer ses vieux jours. chez nous les vieillards vont dans des ehpads : ils sont hors de prix mais à qui la faute ? pourquoi ils sont aussi chers ? # ggrmc # reformedesretraites @ emmanuelmacron @ elysee",beaucoup pays depuis nuit temps fait enfants assurer vieux jours chez vieillards vont ehpads hors prix faute pourquoi aussi chers ggrmc reformedesretraites emmanuelmacron elysee,"['beaucoup', 'pays', 'depuis', 'nuire', 'temps', 'faire', 'enfant', 'avoir', 'vieux', 'jour', 'chez', 'vieillard', 'aller', 'ehpads', 'hors', 'prix', 'fauter', 'pourquoi', 'aussi', 'cher', 'ggrmc', 'reformedesretraites', 'emmanuelmacron', 'elysee']"
5,negatif,2019-12-06 00:50:39,"j’éprouve un malin plaisir à relancer ce tweet du 5 mars 2018 parce que le problème de # reformedesretraites est chaud brûlant et que cette « révélation » de la cour des comptes aura été, comme toutes les autres, sans effeturgent de lui donner un pouvoir de sanction. https://twitter.com/twystsky/status/970685377831997441 …",éprouve malin plaisir relancer tweet mars 2018 parce problème reformedesretraites chaud brûlant cette révélation cour comptes comme toutes autres sans effeturgent donner pouvoir sanction,"['éprouver', 'malin', 'plaisir', 'relancer', 'tweet', 'mars', '2018', 'parce', 'problème', 'reformedesretraites', 'chaud', 'brûler', 'ce', 'révélation', 'cour', 'compter', 'comme', 'toute', 'autre', 'sans', 'effeturgent', 'donner', 'pouvoir', 'sanction']"
6,negatif,2019-12-06 00:50:31,ce gouvernement va réussir un exploit: fédérer tout le monde contre lui. ceux qui sont opposés à la # reformedesretraites et ceux qui la soutiennent mais qui sont consternés par la façon dont elle est menée,gouvernement va réussir exploit fédérer tout monde contre ceux opposés reformedesretraites ceux soutiennent consternés façon dont menée,"['gouvernement', 'aller', 'réussir', 'exploit', 'fédérer', 'tout', 'monder', 'contrer', 'celui', 'opposer', 'reformedesretraites', 'celui', 'soutenir', 'consterner', 'façon', 'dont', 'mener']"
7,positif,2019-12-06 00:50:03,# reformedesretraites après # le5jetravaille ... # le6jetravaille aussi bien sûr !,reformedesretraites après le5jetravaille le6jetravaille aussi bien sûr,"['reformedesretraites', 'après', 'le5jetravaille', 'le6jetravaille', 'aussi', 'bien', 'sûr']"
8,negatif,2019-12-06 00:49:58,"@ twitterfrance ! notre cher @ aiphanmarcel a son compte suspendu, et nous en ignorons la raison rendez-nous marcel rt vivement appréciés @ l4c0n1k @ tropical_boy @ ylebolloch @ vincentcespedes @ vikash_dhorasoo # grevedu5decembre # manifestation # reformedesretraites",twitterfrance cher aiphanmarcel compte suspendu ignorons raison rendez marcel vivement appréciés l4c0n1k tropical_boy ylebolloch vincentcespedes vikash_dhorasoo grevedu5decembre manifestation reformedesretraites,"['twitterfrance', 'cher', 'aiphanmarcel', 'compter', 'suspendre', 'ignorer', 'raison', 'rendre', 'marcel', 'vivement', 'apprécier', 'l4c0n1k', 'tropical_boy', 'ylebolloch', 'vincentcespedes', 'vikash_dhorasoo', 'grevedu5decembre', 'manifestation', 'reformedesretraites']"
9,negatif,2019-12-06 00:48:02,breaking bad me manque # reformedesretraites,breaking bad manque reformedesretraites,"['breaking', 'bad', 'manquer', 'reformedesretraites']"
10,negatif,2019-12-06 00:47:38,après avoir regardé # valp je me suis demandé: le suicide est il une stratégie politique? # reformedesretraites,après avoir regardé valp demandé suicide stratégie politique reformedesretraites,"['après', 'avoir', 'regarder', 'valp', 'demander', 'suicider', 'stratégie', 'politique', 'reformedesretraites']"
11,negatif,2019-12-06 00:45:45,"ben @ ewanb10 si la réforme est une amélioration pour tous et une égalité pour tous, pourquoi en priver les policiers? pourquoi les garder sur un régime si inégal et qui ne rend pas heureux autant que la # reformedesretraites à venir. c'est injuste pour eux. pic.twitter.com/3gxvblhthe",ben ewanb10 si réforme amélioration tous égalité tous pourquoi priver policiers pourquoi garder régime si inégal rend heureux autant reformedesretraites venir injuste,"['ben', 'ewanb10', 'si', 'réformer', 'amélioration', 'tout', 'égalité', 'tout', 'pourquoi', 'priver', 'policier', 'pourquoi', 'garder', 'régime', 'si', 'inégal', 'rendre', 'heureux', 'autant', 'reformedesretraites', 'venir', 'injuste']"
12,negatif,2019-12-06 00:44:53,onli hebdo #10 – état des lieux de la crise sociale https://youtu.be/q9bbkt25ahg via @ youtube @ eetr_national # onli # crisesociale # manif5decembre # reformedesretraites,onli hebdo 10 état lieux crise sociale via youtube eetr_national onli crisesociale manif5decembre reformedesretraites,"['onli', 'hebdo', '10', 'état', 'lieu', 'crise', 'social', 'via', 'youtube', 'eetr_national', 'onli', 'crisesociale', 'manif5decembre', 'reformedesretraites']"
13,negatif,2019-12-06 00:42:35,la # reformedesretraites doit concerner tout le monde !!! # retraitepourtous # équité # justicehttps://twitter.com/christophefrey1/status/1202713961533190144 …,reformedesretraites doit concerner tout monde retraitepourtous équité justice,"['reformedesretraites', 'devoir', 'concerner', 'tout', 'monder', 'retraitepourtous', 'équité', 'justice']"
14,positif,2019-12-06 00:42:25,@ balancetonpost la réforme des retraites ajouter aux précaritées de nous citoyens français + la stygnatisation des banlieues et des campagnes mais où va t'on. # reformedesretraites # stopalaptecarité # francaisensemble # onestpasdesmoutons,balancetonpost réforme retraites ajouter précaritées citoyens français stygnatisation banlieues campagnes où va reformedesretraites stopalaptecarité francaisensemble onestpasdesmoutons,"['balancetonpost', 'réformer', 'retraiter', 'ajouter', 'précaritées', 'citoyen', 'français', 'stygnatisation', 'banlieue', 'campagne', 'où', 'aller', 'reformedesretraites', 'stopalaptecarité', 'francaisensemble', 'onestpasdesmoutons']"
15,negatif,2019-12-06 00:42:12,"les gens ont manifesté contre e.macron, pas contre la # reformedesretraites",gens manifesté contre macron contre reformedesretraites,"['gens', 'manifester', 'contrer', 'macron', 'contrer', 'reformedesretraites']"
16,positif,2019-12-06 00:42:12,toujours cool en sortie de manif d apprend que les mots humanistes et marine le pen ont été mis dans la même phrase # melenchon # reformedesretraites # manif5decembre,toujours cool sortie manif apprend mots humanistes marine pen mis phrase melenchon reformedesretraites manif5decembre,"['toujours', 'cool', 'sortir', 'manif', 'apprendre', 'mot', 'humaniste', 'mariner', 'pen', 'mettre', 'phraser', 'melenchon', 'reformedesretraites', 'manif5decembre']"
17,negatif,2019-12-06 00:40:00,"voici une liste non exhaustive publiée par le sénat, des sanctions pécuniaires, parfois plusieurs millions d'euros!!, que la france a dû payer suite aux condamnations prononcées par la cour de justice de l'ue . # frexit # reformedesretraites https://www.senat.fr/fileadmin/fichiers/images/commission/affaires_europeennes/actualites/actualites_36.pdf …pic.twitter.com/1xry84gzeo",voici liste non exhaustive publiée sénat sanctions pécuniaires parfois plusieurs millions euros france dû payer suite condamnations prononcées cour justice ue frexit reformedesretraites,"['voici', 'liste', 'non', 'exhaustif', 'publier', 'sénat', 'sanction', 'pécuniaire', 'parfois', 'plusieurs', 'million', 'euro', 'france', 'devoir', 'payer', 'suite', 'condamnation', 'prononcer', 'cour', 'justice', 'ue', 'frexit', 'reformedesretraites']"
18,negatif,2019-12-06 00:38:51,"et tu tapes, tapes, tapes, c'est ta façon de vivre.... # greve6decembre # grevedu6decembre # grevegenerale # le5jetravaillepas # le6jetravaillepas # retraites # reformedesretraites # le5jefaisgreve # le6jefaisgreve # police @ alliancepolice @ unsapolice @ bnunsapolicecrs @ ccastanerpic.twitter.com/6geny7bipe",tapes tapes tapes façon vivre greve6decembre grevedu6decembre grevegenerale le5jetravaillepas le6jetravaillepas retraites reformedesretraites le5jefaisgreve le6jefaisgreve police alliancepolice unsapolice bnunsapolicecrs ccastaner,"['taper', 'taper', 'taper', 'façon', 'vivre', 'greve6decembre', 'grevedu6decembre', 'grevegenerale', 'le5jetravaillepas', 'le6jetravaillepas', 'retraiter', 'reformedesretraites', 'le5jefaisgreve', 'le6jefaisgreve', 'policer', 'alliancepolice', 'unsapolice', 'bnunsapolicecrs', 'ccastaner']"
19,negatif,2019-12-06 00:36:16,des manifestants...? boutique de luxe...? moi je dirais des # casseurs d’une # boutique de rachats d’or plutôt... où sont sont les forces de l’ordre à ce moment là ?ils étaient tranquille à casser c’est étrange... # reformedesretraites https://twitter.com/n_molle/status/1202572884633276418 …,manifestants boutique luxe dirais casseurs boutique rachats or plutôt où forces ordre moment là tranquille casser étrange reformedesretraites,"['manifestant', 'boutique', 'luxer', 'dire', 'casseur', 'boutique', 'rachat', 'or', 'plutôt', 'où', 'forcer', 'ordre', 'moment', 'là', 'tranquille', 'casser', 'étrange', 'reformedesretraites']"
20,negatif,2019-12-06 00:35:53,"après le succès mitigé de la # manif5decembre les fainéants privilégiés de la # sncf et de la # ratp continuent leur long week-end ! les français qui bossent continuent de s’organiser à pied, en vélo, en patinette, en ci-voiturage ! # reformedesretraites une obligation !",après succès mitigé manif5decembre fainéants privilégiés sncf ratp continuent long week end français bossent continuent organiser pied vélo patinette ci voiturage reformedesretraites obligation,"['après', 'succès', 'mitiger', 'manif5decembre', 'fainéant', 'privilégier', 'sncf', 'ratp', 'continuer', 'long', 'week', 'end', 'français', 'bosser', 'continuer', 'organiser', 'pied', 'vélo', 'patinette', 'ci', 'voiturage', 'reformedesretraites', 'obligation']"
21,positif,2019-12-06 00:35:19,@ jmdumontet # reformedesretraites pour vous dire mon admiration pour la tenue dansp vos propos ce soir dans l'emission #vous avez la parole #vous y mettiez équilibre là où bcp n'y apporte du déséquilibre.merci . la france de la transformation positive se sent moins seul,jmdumontet reformedesretraites dire admiration tenue dansp propos soir emission parole mettiez équilibre là où bcp apporte déséquilibre merci france transformation positive sent moins seul,"['jmdumontet', 'reformedesretraites', 'dire', 'admiration', 'tenu', 'dansp', 'propos', 'soir', 'emission', 'parole', 'mettre', 'équilibrer', 'là', 'où', 'bcp', 'apporter', 'déséquilibrer', 'merci', 'france', 'transformation', 'positif', 'sentir', 'moins', 'seul']"
22,negatif,2019-12-06 00:34:06,retraite des # senateurs on en parle? # reformedesretraites # retraite # 5decembre2019 # 5decembre # 6decembre # 7decembre # 8decembre # giletsjaunes # pompiers # enseignants # etudiants # chomeurs # cheminots # btp @ lehuffpost @ limportant_fr @ sudradio @ sputnik_fr @ didiermaistohttps://twitter.com/brevesdepresse/status/1202704257520152576 …,retraite senateurs parle reformedesretraites retraite 5decembre2019 5decembre 6decembre 7decembre 8decembre giletsjaunes pompiers enseignants etudiants chomeurs cheminots btp lehuffpost limportant_fr sudradio sputnik_fr didiermaisto,"['retraiter', 'senateurs', 'parler', 'reformedesretraites', 'retraiter', '5decembre2019', '5decembre', '6decembre', '7decembre', '8decembre', 'giletsjaunes', 'pompier', 'enseignant', 'etudiants', 'chomeurs', 'cheminot', 'btp', 'lehuffpost', 'limportant_fr', 'sudradio', 'sputnik_fr', 'didiermaisto']"
23,negatif,2019-12-06 00:29:31,un coup de feutres ? vous êtes sérieux ? c'est un coup de tournevis qu'il faut ! # grevedu5decembre # 5decembre2019 # reformedesretraites # tartuffe # acab,coup feutres sérieux coup tournevis faut grevedu5decembre 5decembre2019 reformedesretraites tartuffe acab,"['coup', 'feutrer', 'sérieux', 'coup', 'tournevis', 'falloir', 'grevedu5decembre', '5decembre2019', 'reformedesretraites', 'tartuffe', 'acab']"
24,negatif,2019-12-06 00:29:08,# retraites # reformeretraites # reformedesretraites # macron # giletsjaunes # greve5decembre # grevegenerale : 𝗝+𝟭pic.twitter.com/1trlva4z8t,retraites reformeretraites reformedesretraites macron giletsjaunes greve5decembre grevegenerale,"['retraiter', 'reformeretraites', 'reformedesretraites', 'macron', 'giletsjaunes', 'greve5decembre', 'grevegenerale']"
25,negatif,2019-12-06 00:28:41,"820 000 personnes qui se gèlent les miches dans la rue toute la journée pour que @ leasalame et @ thomassotto s'autoproclament ""point d'orgue"" de la journée oklm. # valp # reformedesretraites # greve6decembre # grevedu6decembre",820 000 personnes gèlent miches rue toute journée leasalame thomassotto autoproclament point orgue journée oklm valp reformedesretraites greve6decembre grevedu6decembre,"['820', '000', 'personne', 'geler', 'miche', 'ruer', 'tout', 'journée', 'leasalame', 'thomassotto', 'autoproclamer', 'poindre', 'orgue', 'journée', 'oklm', 'valp', 'reformedesretraites', 'greve6decembre', 'grevedu6decembre']"
26,negatif,2019-12-06 00:25:36,# grevegenerale # 5decembre # retraites # reformedesretraites https://twitter.com/gg_rmc/status/1202498683125870593 …,grevegenerale 5decembre retraites reformedesretraites,"['grevegenerale', '5decembre', 'retraiter', 'reformedesretraites']"
27,negatif,2019-12-06 00:24:50,# balancetonpost et si nos grands-parents arrières grand-parents n'avaient pas bougés... # greve5decembre # 5decembre2019 # manifestation # giletsjaunes # reformedesretraites pic.twitter.com/7fx9afjexl,balancetonpost si grands parents arrières grand parents bougés greve5decembre 5decembre2019 manifestation giletsjaunes reformedesretraites,"['balancetonpost', 'si', 'grand', 'parent', 'arriérer', 'grand', 'parent', 'bouger', 'greve5decembre', '5decembre2019', 'manifestation', 'giletsjaunes', 'reformedesretraites']"
28,negatif,2019-12-06 00:22:16,# retraites : l’exécutif maintient le flou et la # reformedesretraites https://www.liberation.fr/france/2019/12/05/retraites-l-executif-maintient-le-flou-et-la-reforme_1767575 … via @ libe,retraites exécutif maintient flou reformedesretraites via libe,"['retraiter', 'exécutif', 'maintenir', 'flou', 'reformedesretraites', 'via', 'libe']"
29,positif,2019-12-06 00:22:03,"personnels de l'éducation nationale, parents et lycéen.nes ont massivement dénoncé le projet delevoye dans la rue aujourd'hui. beaucoup ont choisi de reconduire la grève. la retraite par points, c'est non ! # reformedesretraites # greve6decembre # grevedu6decembre # 5decembrepic.twitter.com/9fuadnccpi",personnels éducation nationale parents lycéen nes massivement dénoncé projet delevoye rue aujourd hui beaucoup choisi reconduire grève retraite points non reformedesretraites greve6decembre grevedu6decembre 5decembre,"['personnel', 'éducation', 'national', 'parent', 'lycéen', 'nes', 'massivement', 'dénoncer', 'projet', 'delevoye', 'ruer', 'aujourd', 'hui', 'beaucoup', 'choisir', 'reconduire', 'grever', 'retraiter', 'point', 'non', 'reformedesretraites', 'greve6decembre', 'grevedu6decembre', '5decembre']"
30,positif,2019-12-06 00:19:25,"manifestation du 5 décembre, on était nombreux pour défendre la solidarité intergénérationnelle # reformedesretraites # justementjeanmionatoutcompris # merguezparty # ilfaisaitpaschaudcacaopic.twitter.com/cylfh9dd6j",manifestation décembre nombreux défendre solidarité intergénérationnelle reformedesretraites justementjeanmionatoutcompris merguezparty ilfaisaitpaschaudcacao,"['manifestation', 'décembre', 'nombreux', 'défendre', 'solidarité', 'intergénérationnelle', 'reformedesretraites', 'justementjeanmionatoutcompris', 'merguezparty', 'ilfaisaitpaschaudcacao']"
31,positif,2019-12-06 00:19:00,"dans ce climat, l'air est traitre # reformedesretraites",climat air traitre reformedesretraites,"['climat', 'air', 'traitre', 'reformedesretraites']"
32,negatif,2019-12-06 00:18:36,"3/ ""elle ne baissera pas = elle n'augmentera pas non plus avec l'inflation = perte de pouvoir d'achat car de fait cela équivaudra à une baisse en euros constants chaque année. # valp # retraites # 5decembre # reformedesretraites # greves # grevehttps://twitter.com/zabouf/status/1202688699248660482 …",baissera augmentera non plus inflation perte pouvoir achat car fait cela équivaudra baisse euros constants chaque année valp retraites 5decembre reformedesretraites greves greve,"['baisser', 'augmenter', 'non', 'plaire', 'inflation', 'perte', 'pouvoir', 'achat', 'car', 'faire', 'celer', 'équivaloir', 'baisser', 'euro', 'constant', 'chaque', 'année', 'valp', 'retraiter', '5decembre', 'reformedesretraites', 'greves', 'greve']"
33,negatif,2019-12-06 00:18:19,vnr partout j’ai photographié la # manif5decembre à bourg en bresse dans l’ain. ville calme où j’ai grandi. 40 000 habs 5 000 manifestants. la colère n’explose plus que dans les grandes villes https://www.instagram.com/p/b5tucdpoaij/?igshid=b1qn7sqz6hcq … # reformedesretraites # giletsjaunes # grevedu5decembrepic.twitter.com/a3hpjlluxe,vnr partout photographié manif5decembre bourg bresse ain ville calme où grandi 40 000 habs 000 manifestants colère explose plus grandes villes reformedesretraites giletsjaunes grevedu5decembre,"['vnr', 'partout', 'photographier', 'manif5decembre', 'bourg', 'bresse', 'ain', 'ville', 'calmer', 'où', 'grandir', '40', '000', 'habs', '000', 'manifestant', 'colère', 'exploser', 'plaire', 'grand', 'ville', 'reformedesretraites', 'giletsjaunes', 'grevedu5decembre']"
34,negatif,2019-12-06 00:18:19,# reformedesretraites # convergencedesluttes https://twitter.com/mehdimehdinos/status/1202671799735074817 …,reformedesretraites convergencedesluttes,"['reformedesretraites', 'convergencedesluttes']"
35,negatif,2019-12-06 00:18:09,"paris, bogotá, santiago contra la farsa de la reforma pensional # reformedesretraites https://youtu.be/tk0iivtgfge",paris bogotá santiago contra farsa reforma pensional reformedesretraites,"['pari', 'bogotá', 'santiago', 'contrer', 'farsa', 'reformer', 'pensional', 'reformedesretraites']"
36,negatif,2019-12-06 00:17:54,"# hanouna arrête de prendre de haut ce qui te parle de la vrai vie. tu oublie vite d'où tu viens... tellement déçu de toi.. fidel depuis tes début dans tpmp, la t'es devenu trop copain avec le gouvernement # reformedesretraites # balancetonpostpic.twitter.com/jmwgs7eun7",hanouna arrête prendre haut parle vrai vie oublie vite où viens tellement déçu fidel depuis début tpmp devenu trop copain gouvernement reformedesretraites balancetonpost,"['hanouna', 'arrêter', 'prendre', 'haut', 'parler', 'vrai', 'vie', 'oublier', 'vite', 'où', 'venir', 'tellement', 'décevoir', 'fidel', 'depuis', 'début', 'tpmp', 'devenir', 'trop', 'copain', 'gouvernement', 'reformedesretraites', 'balancetonpost']"
37,positif,2019-12-06 00:17:44,ca fait du bien de pouvoir écouter @ dr_moji qui est le plus proche des gens et qui nous entend au chômage ...étant senior pour le monde du travail... et pas de taf ... # reformedesretraites # btp @ cyrilhanouna @ c8tv,ca fait bien pouvoir écouter dr_moji plus proche gens entend chômage senior monde travail taf reformedesretraites btp cyrilhanouna c8tv,"['ca', 'faire', 'bien', 'pouvoir', 'écouter', 'dr_moji', 'plaire', 'proche', 'gens', 'entendre', 'chômage', 'senior', 'monder', 'travail', 'taf', 'reformedesretraites', 'btp', 'cyrilhanouna', 'c8tv']"
38,negatif,2019-12-06 00:16:00,la # reformedesretraites ne sera pas équitable: elle fera plus de trompés que de trompettes. # geralddarmanin et # sibethndiaye se sont soumis aux principes de la communication en macronie : nous balader et nous faire accroîre que vessies sont lanternes. # valp,reformedesretraites équitable fera plus trompés trompettes geralddarmanin sibethndiaye soumis principes communication macronie balader faire accroîre vessies lanternes valp,"['reformedesretraites', 'équitable', 'faire', 'plaire', 'tromper', 'trompette', 'geralddarmanin', 'sibethndiaye', 'soumettre', 'principe', 'communication', 'macronie', 'balader', 'faire', 'accroîre', 'vessie', 'lanterner', 'valp']"
39,negatif,2019-12-06 00:13:20,vnr partout j’ai photographié la # manif5decembre à bourg en bresse dans l’ain. ville (trop) calme où j’ai grandi. 40 000 habs 5 000 manifestants. # reformedesretraites # giletsjaunes # tousvnr http://instagram.com/p/b5tsv7wod8p/ …pic.twitter.com/paoapvjhb6,vnr partout photographié manif5decembre bourg bresse ain ville trop calme où grandi 40 000 habs 000 manifestants reformedesretraites giletsjaunes tousvnr,"['vnr', 'partout', 'photographier', 'manif5decembre', 'bourg', 'bresse', 'ain', 'ville', 'trop', 'calmer', 'où', 'grandir', '40', '000', 'habs', '000', 'manifestant', 'reformedesretraites', 'giletsjaunes', 'tousvnr']"
40,negatif,2019-12-06 00:09:06,# manif5decembre # reformedesretraites sont classés en tendance.,manif5decembre reformedesretraites classés tendance,"['manif5decembre', 'reformedesretraites', 'classer', 'tendance']"
41,negatif,2019-12-06 00:08:12,"cette bande de pieds nickelés nous mène à la catastrophe économique, écologique et sociale # reformedesretraites # grevedu6decembrepic.twitter.com/fvvhu1uwiq",cette bande pieds nickelés mène catastrophe économique écologique sociale reformedesretraites grevedu6decembre,"['ce', 'bander', 'pied', 'nickeler', 'mener', 'catastrophe', 'économique', 'écologique', 'social', 'reformedesretraites', 'grevedu6decembre']"
42,positif,2019-12-06 00:06:21,l'excellente une de @ libe # reformedesretraites # journalismepic.twitter.com/f3fgjx9l3p,excellente libe reformedesretraites journalisme,"['excellent', 'libe', 'reformedesretraites', 'journalisme']"
43,negatif,2019-12-06 00:06:02,"la # député-e # lrem, directrice d' # école, fervente # défenseur du # droit de la république, # catherineosson, démontre sa splendide # duplicité en fonction de la # têteduclient. # confiance # reformedesretraites # professeurs # wattrelos # roubaix # macron # giletsjaunes # hautsdefrancepic.twitter.com/qnxr2wakfo",député lrem directrice école fervente défenseur droit république catherineosson démontre splendide duplicité fonction têteduclient confiance reformedesretraites professeurs wattrelos roubaix macron giletsjaunes hautsdefrance,"['députer', 'lrem', 'directeur', 'école', 'fervent', 'défenseur', 'droit', 'république', 'catherineosson', 'démontrer', 'splendide', 'duplicité', 'fonction', 'têteduclient', 'confiance', 'reformedesretraites', 'professeur', 'wattrelos', 'roubaix', 'macron', 'giletsjaunes', 'hautsdefrance']"
44,negatif,2019-12-06 00:05:57,la # grevegeneral serait une solution pour le # climat .... cela nous ouvre des perspectives. # grevereconductiblele5 # greve6decembre # reformedesretraites https://twitter.com/bfmparis/status/1202486140818866176 …,grevegeneral solution climat cela ouvre perspectives grevereconductiblele5 greve6decembre reformedesretraites,"['grevegeneral', 'solution', 'climat', 'celer', 'ouvrir', 'perspective', 'grevereconductiblele5', 'greve6decembre', 'reformedesretraites']"
45,negatif,2019-12-06 00:05:52,"ya plus d argent ya plus d argent pour les retraites nous dit la # macronie @ enmarchefr, @ teammacron faut réformer faut réformer ... # tartuffe. vous le sentez le souffle de colère des 1.5 m de manifestants ? # grevegenerale # reformedesretraites # grevedu5decembre # greve6decembrehttps://twitter.com/mariannelemag/status/1202512328945815552 …",ya plus argent ya plus argent retraites dit macronie enmarchefr teammacron faut réformer faut réformer tartuffe sentez souffle colère manifestants grevegenerale reformedesretraites grevedu5decembre greve6decembre,"['ya', 'plaire', 'argent', 'ya', 'plaire', 'argent', 'retraiter', 'dire', 'macronie', 'enmarchefr', 'teammacron', 'falloir', 'réformer', 'falloir', 'réformer', 'tartuffe', 'sentir', 'souffler', 'colère', 'manifestant', 'grevegenerale', 'reformedesretraites', 'grevedu5decembre', 'greve6decembre']"
46,negatif,2019-12-06 00:05:48,"pour tous ceux qui veulent comprendre la # reformedesretraites et arrêter de se faire balader par les politiques et les journalistes qui créent la peur, aller directement lire le rapport @ delevoye https://www.reforme-retraite.gouv.fr/img/pdf/retraite_01-09_leger.pdf …",tous ceux veulent comprendre reformedesretraites arrêter faire balader politiques journalistes créent peur aller directement lire rapport delevoye,"['tout', 'celui', 'vouloir', 'comprendre', 'reformedesretraites', 'arrêter', 'faire', 'balader', 'politique', 'journaliste', 'créer', 'peur', 'aller', 'directement', 'lire', 'rapport', 'delevoye']"
